session_id,user_id,workflow_type,task_id,duration_s,app_switches_per_min,backtrack_rate,repeated_action_ratio,correction_rate,hesitation_ms_p50,idle_ratio,navigation_efficiency,action_sequence_entropy,workflow_repeat_count,predictable_sequence_score,completion_success,friction_score,focus_score,automation_potential,model_confidence,behavior_label,data_origin
syn_00588,bootstrap_user_12,repetitive_admin,repetitive_admin_048,324.3,2.214,0.1221,0.4118,0.0674,368.3,0.0092,0.8762,0.2206,7,0.8126,True,0.1713,0.9108,0.5408,0.9042,focused_or_low_friction,synthetic_bootstrap
syn_00589,bootstrap_user_01,repetitive_admin,repetitive_admin_049,583.2,4.916,0.1349,0.9084,0.1117,398.7,0.0605,0.5761,0.3092,2,0.73,True,0.2873,0.6683,0.6165,0.7604,focused_or_low_friction,synthetic_bootstrap
syn_00590,bootstrap_user_02,deep_work,deep_work_050,1891.5,0.393,0.1249,0.1429,0.1121,234.6,0.0729,0.9078,0.777,1,0.2845,True,0.1423,0.7435,0.2684,0.5704,focused_or_low_friction,synthetic_bootstrap
syn_00591,bootstrap_user_03,research_browsing,research_browsing_051,1666.6,2.136,0.2118,0.1624,0.1528,515.4,0.0812,0.4785,0.709,2,0.2838,True,0.3674,0.6654,0.2757,0.6009,moderate_friction,synthetic_bootstrap
syn_00592,bootstrap_user_04,support_lookup,support_lookup_052,324.8,4.571,0.1431,0.6626,0.0237,783.3,0.0754,0.5735,0.2956,1,0.7586,True,0.2953,0.6797,0.5299,0.7467,focused_or_low_friction,synthetic_bootstrap
syn_00593,bootstrap_user_05,repetitive_admin,repetitive_admin_053,415.9,2.894,0.1461,0.7176,0.0367,295.2,0.0411,0.7623,0.2809,9,0.738,True,0.1909,0.8305,0.6158,0.9008,focused_or_low_friction,synthetic_bootstrap
syn_00594,bootstrap_user_06,support_lookup,support_lookup_054,292.3,7.695,0.1955,0.6112,0.0607,795.1,0.0252,0.7027,0.3079,6,0.6476,True,0.3491,0.6184,0.5948,0.83,moderate_friction,synthetic_bootstrap
syn_00595,bootstrap_user_07,deep_work,deep_work_055,1547.9,0.951,0.1221,0.1879,0.0,575.2,0.076,0.7937,0.6691,0,0.3731,True,0.1747,0.7523,0.3219,0.583,focused_or_low_friction,synthetic_bootstrap
syn_00596,bootstrap_user_08,repetitive_admin,repetitive_admin_056,297.1,4.652,0.1768,0.6685,0.0357,192.3,0.0582,0.6736,0.3999,5,0.7879,True,0.201,0.6776,0.5797,0.8315,focused_or_low_friction,synthetic_bootstrap
syn_00597,bootstrap_user_09,coding_debugging,coding_debugging_057,1152.8,2.309,0.3026,0.0707,0.3392,821.6,0.1446,0.6766,0.6998,4,0.379,True,0.3786,0.6088,0.3491,0.6708,moderate_friction,synthetic_bootstrap
syn_00598,bootstrap_user_10,coding_debugging,coding_debugging_058,1841.4,4.016,0.3761,0.3941,0.1461,410.4,0.0839,0.6145,0.7002,0,0.5812,True,0.4332,0.614,0.435,0.6313,moderate_friction,synthetic_bootstrap
syn_00599,bootstrap_user_11,research_browsing,research_browsing_059,928.5,3.08,0.4095,0.1518,0.0773,893.6,0.1687,0.4783,0.7791,1,0.3084,True,0.3742,0.5174,0.3064,0.5761,moderate_friction,synthetic_bootstrap
syn_00600,bootstrap_user_12,coding_debugging,coding_debugging_060,2146.8,2.487,0.2693,0.2975,0.2663,313.2,0.088,0.5818,0.5608,2,0.1306,True,0.3685,0.6591,0.3288,0.5804,moderate_friction,synthetic_bootstrap
syn_00601,bootstrap_user_01,support_lookup,support_lookup_001,251.4,3.359,0.1809,0.6276,0.065,568.2,0.0678,0.6434,0.6263,6,0.7621,True,0.258,0.6774,0.5011,0.8204,focused_or_low_friction,synthetic_bootstrap
syn_00602,bootstrap_user_02,coding_debugging,coding_debugging_002,844.4,1.716,0.1717,0.0649,0.2537,1007.1,0.1098,0.7817,0.7951,3,0.6836,True,0.3142,0.6684,0.4209,0.713,moderate_friction,synthetic_bootstrap
syn_00603,bootstrap_user_03,research_browsing,research_browsing_003,1351.3,2.287,0.2729,0.1147,0.1267,741.0,0.1005,0.6479,0.681,2,0.2445,True,0.3293,0.632,0.264,0.5944,moderate_friction,synthetic_bootstrap
syn_00604,bootstrap_user_04,coding_debugging,coding_debugging_004,1687.4,1.885,0.193,0.2736,0.365,944.8,0.101,0.6275,0.7432,3,0.4795,True,0.4173,0.634,0.4066,0.6682,moderate_friction,synthetic_bootstrap
syn_00605,bootstrap_user_05,research_browsing,research_browsing_005,1726.9,1.035,0.0597,0.2535,0.176,371.7,0.115,0.5321,0.7791,2,0.1449,True,0.2805,0.6492,0.2657,0.5577,focused_or_low_friction,synthetic_bootstrap
syn_00606,bootstrap_user_06,coding_debugging,coding_debugging_006,1455.3,1.824,0.2336,0.2683,0.2871,997.7,0.0533,0.4563,0.689,3,0.2463,True,0.4098,0.656,0.3203,0.6164,moderate_friction,synthetic_bootstrap
syn_00607,bootstrap_user_07,research_browsing,research_browsing_007,1832.7,2.305,0.3235,0.1823,0.1147,603.5,0.0,0.4436,0.7899,2,0.0852,True,0.331,0.6871,0.2706,0.5415,moderate_friction,synthetic_bootstrap
syn_00608,bootstrap_user_08,deep_work,deep_work_008,2171.8,1.28,0.1029,0.2188,0.0725,958.2,0.0312,0.7778,0.7701,2,0.4085,True,0.2026,0.7994,0.335,0.6247,focused_or_low_friction,synthetic_bootstrap
syn_00609,bootstrap_user_09,coding_debugging,coding_debugging_009,1660.7,0.37,0.3082,0.1836,0.3572,862.4,0.1183,0.4935,0.7143,2,0.4893,True,0.4256,0.6172,0.3642,0.6516,moderate_friction,synthetic_bootstrap
syn_00610,bootstrap_user_10,support_lookup,support_lookup_010,521.1,6.275,0.0,0.6282,0.1566,487.2,0.0462,0.6333,0.4207,3,0.9089,True,0.3287,0.6759,0.5571,0.8142,moderate_friction,synthetic_bootstrap
syn_00611,bootstrap_user_11,support_lookup,support_lookup_011,204.5,3.614,0.3515,0.5309,0.0023,415.3,0.0737,0.7384,0.6104,11,0.8088,True,0.3038,0.6444,0.5562,0.8789,moderate_friction,synthetic_bootstrap
syn_00612,bootstrap_user_12,coding_debugging,coding_debugging_012,912.3,1.073,0.2288,0.2167,0.3731,679.1,0.0366,0.4336,0.741,3,0.3424,True,0.3412,0.7245,0.3388,0.6342,moderate_friction,synthetic_bootstrap
syn_00613,bootstrap_user_01,research_browsing,research_browsing_013,1394.5,4.054,0.1501,0.1787,0.0981,361.5,0.1184,0.5838,0.8444,0,0.3012,True,0.371,0.581,0.2704,0.544,moderate_friction,synthetic_bootstrap
syn_00614,bootstrap_user_02,research_browsing,research_browsing_014,1575.5,2.469,0.2456,0.1182,0.0143,574.2,0.1461,0.6146,0.8322,2,0.3485,False,0.3239,0.5706,0.3488,0.6023,moderate_friction,synthetic_bootstrap
syn_00615,bootstrap_user_03,repetitive_admin,repetitive_admin_015,441.3,3.243,0.1262,0.6939,0.0626,407.1,0.0348,0.7269,0.2009,8,0.9067,True,0.1622,0.7956,0.6598,0.9526,focused_or_low_friction,synthetic_bootstrap
syn_00616,bootstrap_user_04,coding_debugging,coding_debugging_016,653.0,2.896,0.1262,0.3445,0.2943,190.1,0.1089,0.5653,0.6643,1,0.4022,True,0.2142,0.6482,0.3513,0.6133,focused_or_low_friction,synthetic_bootstrap
syn_00617,bootstrap_user_05,coding_debugging,coding_debugging_017,770.6,1.184,0.3648,0.1102,0.3134,628.3,0.0737,0.4886,0.658,3,0.4529,True,0.327,0.6827,0.2999,0.6718,moderate_friction,synthetic_bootstrap
syn_00618,bootstrap_user_06,repetitive_admin,repetitive_admin_018,419.1,2.249,0.0568,0.7513,0.0582,221.8,0.0897,0.8228,0.0868,2,0.9075,True,0.1908,0.8121,0.5845,0.8315,focused_or_low_friction,synthetic_bootstrap
syn_00619,bootstrap_user_07,deep_work,deep_work_019,1289.1,1.021,0.0162,0.2544,0.1111,301.5,0.1122,0.9993,0.6582,2,0.2982,True,0.0877,0.7623,0.3345,0.6106,focused_or_low_friction,synthetic_bootstrap
syn_00620,bootstrap_user_08,deep_work,deep_work_020,2699.5,0.0,0.066,0.253,0.0779,419.2,0.0467,0.7454,0.4974,1,0.2313,True,0.1669,0.8174,0.2927,0.5906,focused_or_low_friction,synthetic_bootstrap
syn_00621,bootstrap_user_09,coding_debugging,coding_debugging_021,1078.3,1.724,0.1632,0.2486,0.4067,813.4,0.0695,0.5965,0.5149,2,0.364,True,0.3157,0.709,0.4075,0.6442,moderate_friction,synthetic_bootstrap
syn_00622,bootstrap_user_10,support_lookup,support_lookup_022,369.2,3.186,0.1386,0.556,0.1505,546.2,0.0628,0.7136,0.2944,11,0.7898,True,0.284,0.7651,0.6178,0.9121,focused_or_low_friction,synthetic_bootstrap
syn_00623,bootstrap_user_11,research_browsing,research_browsing_023,1824.8,2.312,0.1511,0.2328,0.0563,831.0,0.1276,0.4752,0.7943,1,0.3419,True,0.3638,0.5929,0.322,0.5827,moderate_friction,synthetic_bootstrap
syn_00624,bootstrap_user_12,support_lookup,support_lookup_024,262.4,4.102,0.1114,0.6636,0.0956,357.1,0.0904,0.6699,0.3349,11,0.6064,False,0.2332,0.6817,0.5875,0.8614,focused_or_low_friction,synthetic_bootstrap
syn_00625,bootstrap_user_01,research_browsing,research_browsing_025,888.5,4.445,0.3871,0.1623,0.1168,662.5,0.1965,0.3264,0.8302,1,0.0173,True,0.4748,0.3854,0.2725,0.4972,high_friction,synthetic_bootstrap
syn_00626,bootstrap_user_02,support_lookup,support_lookup_026,379.9,4.285,0.1896,0.3969,0.0742,683.3,0.0618,0.6967,0.3746,13,0.7469,True,0.3336,0.7244,0.5651,0.8918,moderate_friction,synthetic_bootstrap
syn_00627,bootstrap_user_03,coding_debugging,coding_debugging_027,1183.1,1.846,0.2953,0.3622,0.3379,1097.3,0.0665,0.5195,0.7216,2,0.394,True,0.4392,0.6502,0.4339,0.6269,moderate_friction,synthetic_bootstrap
syn_00628,bootstrap_user_04,deep_work,deep_work_028,1806.4,1.092,0.1079,0.0841,0.1084,797.1,0.0901,0.8921,0.7493,2,0.3724,True,0.2448,0.7118,0.3066,0.6182,focused_or_low_friction,synthetic_bootstrap
syn_00629,bootstrap_user_05,support_lookup,support_lookup_029,241.6,3.83,0.2837,0.5247,0.0403,663.2,0.0174,0.4672,0.4599,7,0.8373,True,0.2788,0.658,0.5324,0.8816,focused_or_low_friction,synthetic_bootstrap
syn_00630,bootstrap_user_06,coding_debugging,coding_debugging_030,527.4,2.476,0.2291,0.2585,0.3155,880.6,0.125,0.5722,0.7384,3,0.08,True,0.3561,0.6088,0.2359,0.5689,moderate_friction,synthetic_bootstrap
syn_00631,bootstrap_user_07,research_browsing,research_browsing_031,1192.1,1.799,0.287,0.0676,0.0536,767.5,0.0785,0.4686,0.8725,3,0.3866,True,0.3262,0.612,0.2922,0.6295,moderate_friction,synthetic_bootstrap
syn_00632,bootstrap_user_08,research_browsing,research_browsing_032,1433.9,2.419,0.181,0.228,0.1592,737.6,0.1997,0.4953,0.653,3,0.2074,True,0.3267,0.5128,0.3016,0.611,moderate_friction,synthetic_bootstrap
syn_00633,bootstrap_user_09,deep_work,deep_work_033,1582.8,0.622,0.0845,0.2492,0.1238,158.0,0.1043,0.8289,0.6702,1,0.3745,True,0.1472,0.7646,0.3121,0.6057,focused_or_low_friction,synthetic_bootstrap
syn_00634,bootstrap_user_10,repetitive_admin,repetitive_admin_034,265.5,3.138,0.0522,0.5133,0.0662,568.3,0.0488,0.7561,0.067,10,0.8675,True,0.1758,0.81,0.591,0.9588,focused_or_low_friction,synthetic_bootstrap
syn_00635,bootstrap_user_11,deep_work,deep_work_035,1965.9,1.339,0.0686,0.0806,0.0811,603.8,0.0309,0.8663,0.6122,2,0.2823,True,0.2225,0.7815,0.3037,0.6121,focused_or_low_friction,synthetic_bootstrap
syn_00636,bootstrap_user_12,deep_work,deep_work_036,2665.7,1.108,0.0134,0.0475,0.0524,478.4,0.089,0.7183,0.5927,1,0.3283,True,0.1956,0.7224,0.2476,0.6035,focused_or_low_friction,synthetic_bootstrap
syn_00637,bootstrap_user_01,coding_debugging,coding_debugging_037,1386.0,2.163,0.1814,0.2037,0.2208,856.9,0.2342,0.6706,0.7107,2,0.2319,True,0.4094,0.5178,0.3503,0.5877,moderate_friction,synthetic_bootstrap
syn_00638,bootstrap_user_02,coding_debugging,coding_debugging_038,1109.5,2.897,0.3126,0.2223,0.2045,742.2,0.1421,0.5541,0.764,1,0.5292,True,0.3569,0.5486,0.4004,0.6331,moderate_friction,synthetic_bootstrap
syn_00639,bootstrap_user_03,coding_debugging,coding_debugging_039,533.4,1.236,0.2724,0.4533,0.2327,908.8,0.113,0.5452,0.7361,2,0.3699,True,0.3278,0.652,0.3506,0.6191,moderate_friction,synthetic_bootstrap
syn_00640,bootstrap_user_04,research_browsing,research_browsing_040,1895.3,3.638,0.2146,0.1298,0.0757,326.5,0.0966,0.5975,0.9372,2,0.1962,False,0.3412,0.5857,0.276,0.5516,moderate_friction,synthetic_bootstrap
syn_00641,bootstrap_user_05,coding_debugging,coding_debugging_041,1343.9,2.037,0.3589,0.0803,0.4604,490.8,0.1397,0.5801,0.7084,2,0.4558,True,0.4334,0.6151,0.36,0.6439,moderate_friction,synthetic_bootstrap
syn_00642,bootstrap_user_06,coding_debugging,coding_debugging_042,1871.2,2.284,0.3985,0.2829,0.2451,827.1,0.1252,0.6065,0.7613,4,0.4167,False,0.491,0.5808,0.3885,0.6728,high_friction,synthetic_bootstrap
syn_00643,bootstrap_user_07,deep_work,deep_work_043,1237.9,0.649,0.0519,0.091,0.0559,545.4,0.1612,0.8856,0.7923,1,0.3626,True,0.1634,0.6719,0.2953,0.5881,focused_or_low_friction,synthetic_bootstrap
syn_00644,bootstrap_user_08,repetitive_admin,repetitive_admin_044,583.5,3.267,0.0483,0.6845,0.0223,389.8,0.0577,0.7156,0.3042,10,0.8805,True,0.2272,0.7602,0.7283,0.9336,automation_candidate,synthetic_bootstrap
syn_00645,bootstrap_user_09,coding_debugging,coding_debugging_045,977.6,2.696,0.3766,0.2203,0.4148,1092.6,0.169,0.6604,0.956,2,0.7174,True,0.4899,0.5093,0.4494,0.6796,high_friction,synthetic_bootstrap
syn_00646,bootstrap_user_10,research_browsing,research_browsing_046,2063.5,1.804,0.2053,0.0087,0.0911,470.5,0.0991,0.9308,0.9374,0,0.3667,False,0.2827,0.682,0.2483,0.5492,focused_or_low_friction,synthetic_bootstrap
syn_00647,bootstrap_user_11,deep_work,deep_work_047,1126.7,0.336,0.0886,0.158,0.0546,307.0,0.0764,0.8909,0.6724,3,0.2665,True,0.1159,0.7981,0.2864,0.6234,focused_or_low_friction,synthetic_bootstrap
syn_00648,bootstrap_user_12,support_lookup,support_lookup_048,452.7,2.271,0.3172,0.6317,0.1376,760.2,0.0857,0.587,0.426,12,0.7013,False,0.3915,0.6725,0.6122,0.8742,moderate_friction,synthetic_bootstrap
syn_00649,bootstrap_user_01,coding_debugging,coding_debugging_049,999.5,0.44,0.2343,0.2137,0.1926,974.4,0.0891,0.5401,0.6875,3,0.4303,True,0.3279,0.6887,0.3356,0.6626,moderate_friction,synthetic_bootstrap
syn_00650,bootstrap_user_02,deep_work,deep_work_050,1655.7,1.061,0.1086,0.1316,0.1238,273.6,0.042,0.7999,0.8298,2,0.317,True,0.1672,0.8023,0.2815,0.5947,focused_or_low_friction,synthetic_bootstrap
syn_00651,bootstrap_user_03,support_lookup,support_lookup_051,158.8,4.1,0.1601,0.515,0.2401,577.4,0.0739,0.6138,0.2965,10,0.6224,True,0.2465,0.6789,0.5841,0.87,focused_or_low_friction,synthetic_bootstrap
syn_00652,bootstrap_user_04,research_browsing,research_browsing_052,1162.7,3.458,0.2225,0.2837,0.0208,811.9,0.1001,0.691,0.7345,2,0.2877,True,0.2792,0.6058,0.3545,0.5988,focused_or_low_friction,synthetic_bootstrap
syn_00653,bootstrap_user_05,coding_debugging,coding_debugging_053,759.4,1.903,0.0726,0.2029,0.4024,963.3,0.0957,0.6368,0.6372,5,0.7095,True,0.3836,0.6722,0.4324,0.7834,moderate_friction,synthetic_bootstrap
syn_00654,bootstrap_user_06,repetitive_admin,repetitive_admin_054,313.6,2.981,0.2587,0.6863,0.0456,263.2,0.0842,0.8298,0.2315,0,0.7697,True,0.2068,0.7437,0.5269,0.7347,focused_or_low_friction,synthetic_bootstrap
syn_00655,bootstrap_user_07,research_browsing,research_browsing_055,2329.2,2.96,0.2184,0.1334,0.0858,323.0,0.0355,0.3733,0.8867,0,0.534,True,0.4129,0.607,0.2855,0.5971,moderate_friction,synthetic_bootstrap
syn_00656,bootstrap_user_08,repetitive_admin,repetitive_admin_056,612.6,4.602,0.0656,0.6802,0.0438,364.3,0.0532,0.7084,0.0981,6,0.9163,True,0.246,0.7287,0.6557,0.9223,focused_or_low_friction,synthetic_bootstrap
syn_00657,bootstrap_user_09,research_browsing,research_browsing_057,2054.5,1.746,0.2849,0.1838,0.1122,488.9,0.0924,0.5793,0.7583,2,0.3549,True,0.3561,0.6032,0.3566,0.6127,moderate_friction,synthetic_bootstrap
syn_00658,bootstrap_user_10,repetitive_admin,repetitive_admin_058,389.4,5.212,0.2083,0.6594,0.1089,302.8,0.0501,0.8008,0.3913,12,0.866,True,0.2438,0.6584,0.6636,0.9195,focused_or_low_friction,synthetic_bootstrap
syn_00659,bootstrap_user_11,support_lookup,support_lookup_059,407.4,4.208,0.1927,0.5495,0.0874,378.3,0.0741,0.6503,0.4079,8,0.7474,True,0.2839,0.7275,0.6123,0.8879,focused_or_low_friction,synthetic_bootstrap
syn_00660,bootstrap_user_12,repetitive_admin,repetitive_admin_060,621.0,2.525,0.1206,0.6222,0.0275,303.5,0.0898,0.8157,0.183,7,0.9199,True,0.2221,0.7775,0.6547,0.9355,focused_or_low_friction,synthetic_bootstrap
syn_00661,bootstrap_user_01,repetitive_admin,repetitive_admin_001,458.1,2.546,0.0869,0.584,0.0175,365.1,0.0745,0.6158,0.3073,11,0.7131,True,0.2607,0.7438,0.5692,0.8914,focused_or_low_friction,synthetic_bootstrap
syn_00662,bootstrap_user_02,research_browsing,research_browsing_002,1679.2,2.177,0.2822,0.1248,0.0973,531.7,0.1102,0.5119,0.7821,1,0.3589,True,0.3098,0.6168,0.2958,0.5884,moderate_friction,synthetic_bootstrap
syn_00663,bootstrap_user_03,repetitive_admin,repetitive_admin_003,444.3,3.965,0.1397,0.8598,0.0683,514.5,0.0537,0.7857,0.3204,13,0.9177,True,0.2274,0.7358,0.7401,0.941,automation_candidate,synthetic_bootstrap
syn_00664,bootstrap_user_04,deep_work,deep_work_004,1273.9,0.0,0.0025,0.3088,0.0572,792.6,0.0961,0.816,0.5299,2,0.5771,True,0.1676,0.7708,0.3813,0.6957,focused_or_low_friction,synthetic_bootstrap
syn_00665,bootstrap_user_05,repetitive_admin,repetitive_admin_005,292.1,4.478,0.2179,0.7435,0.0679,581.3,0.0206,0.7447,0.3263,5,0.8091,True,0.2752,0.7762,0.5867,0.8456,focused_or_low_friction,synthetic_bootstrap
syn_00666,bootstrap_user_06,coding_debugging,coding_debugging_006,979.3,1.66,0.2802,0.185,0.2903,887.4,0.0797,0.5891,0.7015,2,0.3582,True,0.3063,0.6984,0.3463,0.6204,moderate_friction,synthetic_bootstrap
syn_00667,bootstrap_user_07,coding_debugging,coding_debugging_007,1374.5,2.853,0.2021,0.1486,0.1968,715.8,0.135,0.5458,0.7808,0,0.366,True,0.3796,0.5528,0.2891,0.5678,moderate_friction,synthetic_bootstrap
syn_00668,bootstrap_user_08,research_browsing,research_browsing_008,45.0,1.887,0.3152,0.1334,0.0768,137.0,0.0285,0.7228,0.8494,0,0.2243,True,0.1728,0.6684,0.1207,0.5242,focused_or_low_friction,synthetic_bootstrap
syn_00669,bootstrap_user_09,repetitive_admin,repetitive_admin_009,505.9,3.792,0.1725,0.5336,0.0823,345.1,0.0474,0.7209,0.214,0,0.9529,True,0.2084,0.7579,0.5107,0.7826,focused_or_low_friction,synthetic_bootstrap
syn_00670,bootstrap_user_10,support_lookup,support_lookup_010,218.1,3.378,0.223,0.516,0.0552,723.7,0.0546,0.6453,0.4362,4,0.7432,True,0.2393,0.7047,0.4473,0.7935,focused_or_low_friction,synthetic_bootstrap
syn_00671,bootstrap_user_11,deep_work,deep_work_011,2227.7,1.046,0.1007,0.0214,0.0848,238.1,0.0785,0.6348,0.5259,3,0.3943,True,0.18,0.7176,0.3256,0.673,focused_or_low_friction,synthetic_bootstrap
syn_00672,bootstrap_user_12,support_lookup,support_lookup_012,225.6,6.156,0.1652,0.6276,0.0406,455.1,0.0653,0.6227,0.3066,7,0.9415,True,0.3166,0.6476,0.6482,0.9261,moderate_friction,synthetic_bootstrap
syn_00673,bootstrap_user_01,research_browsing,research_browsing_013,1045.1,2.772,0.2018,0.2237,0.1396,677.5,0.1538,0.5124,0.8708,3,0.3813,True,0.3615,0.5159,0.3662,0.6283,moderate_friction,synthetic_bootstrap
syn_00674,bootstrap_user_02,coding_debugging,coding_debugging_014,1235.2,1.003,0.3322,0.1151,0.2572,790.3,0.0635,0.6191,0.7267,1,0.4995,True,0.4034,0.6945,0.3017,0.6302,moderate_friction,synthetic_bootstrap
syn_00675,bootstrap_user_03,support_lookup,support_lookup_015,161.6,5.677,0.1473,0.4427,0.1527,445.2,0.0796,0.7536,0.3902,14,0.6175,True,0.2565,0.6927,0.6095,0.8576,focused_or_low_friction,synthetic_bootstrap
syn_00676,bootstrap_user_04,repetitive_admin,repetitive_admin_016,613.3,2.406,0.0793,0.6206,0.0487,574.1,0.0427,0.73,0.3574,1,0.8642,True,0.242,0.7697,0.5113,0.7657,focused_or_low_friction,synthetic_bootstrap
syn_00677,bootstrap_user_05,research_browsing,research_browsing_017,1462.8,3.243,0.2002,0.2097,0.0566,799.9,0.0997,0.522,0.7364,2,0.5245,True,0.3244,0.6138,0.3729,0.6577,moderate_friction,synthetic_bootstrap
syn_00678,bootstrap_user_06,support_lookup,support_lookup_018,288.4,3.573,0.2825,0.5432,0.1799,331.1,0.0512,0.8,0.3785,13,0.7631,True,0.3156,0.6979,0.5806,0.8954,moderate_friction,synthetic_bootstrap
syn_00679,bootstrap_user_07,deep_work,deep_work_019,1402.2,1.166,0.0,0.1978,0.1163,812.6,0.1218,0.8491,0.8159,2,0.2948,True,0.1995,0.6992,0.312,0.5908,focused_or_low_friction,synthetic_bootstrap
syn_00680,bootstrap_user_08,repetitive_admin,repetitive_admin_020,99.7,2.98,0.1217,0.7857,0.1451,404.1,0.0227,0.5764,0.3487,5,0.9293,True,0.175,0.7651,0.6132,0.873,focused_or_low_friction,synthetic_bootstrap
syn_00681,bootstrap_user_09,deep_work,deep_work_021,2309.5,0.0,0.0373,0.0476,0.1162,524.4,0.0,0.7959,0.7601,2,0.3676,True,0.1509,0.8448,0.2802,0.6157,focused_or_low_friction,synthetic_bootstrap
syn_00682,bootstrap_user_10,repetitive_admin,repetitive_admin_022,512.3,3.896,0.1252,0.8514,0.065,192.3,0.0643,0.7514,0.3297,3,1.0,True,0.2221,0.7037,0.6753,0.8479,focused_or_low_friction,synthetic_bootstrap
syn_00683,bootstrap_user_11,deep_work,deep_work_023,1249.1,1.818,0.0493,0.2876,0.0808,734.5,0.0506,0.8215,0.7605,2,0.4821,True,0.201,0.7742,0.3625,0.6443,focused_or_low_friction,synthetic_bootstrap
syn_00684,bootstrap_user_12,support_lookup,support_lookup_024,317.3,4.037,0.1965,0.631,0.0706,473.1,0.0643,0.6497,0.533,10,0.819,True,0.2817,0.7013,0.5905,0.8908,focused_or_low_friction,synthetic_bootstrap
syn_00685,bootstrap_user_01,coding_debugging,coding_debugging_025,1151.2,2.525,0.2458,0.1398,0.2215,637.9,0.0645,0.756,0.7191,2,0.435,True,0.3003,0.7071,0.3199,0.6375,moderate_friction,synthetic_bootstrap
syn_00686,bootstrap_user_02,repetitive_admin,repetitive_admin_026,595.7,3.191,0.1171,0.6368,0.0309,163.3,0.0271,0.7929,0.1839,2,0.7873,True,0.1895,0.8056,0.5733,0.7898,focused_or_low_friction,synthetic_bootstrap
syn_00687,bootstrap_user_03,support_lookup,support_lookup_027,384.9,6.707,0.05,0.5087,0.1449,438.3,0.0858,0.6807,0.5337,10,0.8961,True,0.3524,0.5831,0.6053,0.91,moderate_friction,synthetic_bootstrap
syn_00688,bootstrap_user_04,research_browsing,research_browsing_028,2085.9,3.82,0.1889,0.2844,0.0685,245.6,0.1604,0.4266,0.7843,2,0.3463,True,0.3973,0.5085,0.3471,0.6074,moderate_friction,synthetic_bootstrap
syn_00689,bootstrap_user_05,coding_debugging,coding_debugging_029,1232.4,0.845,0.4518,0.0997,0.2654,437.1,0.0635,0.6115,0.6671,4,0.4518,True,0.325,0.7198,0.388,0.6929,moderate_friction,synthetic_bootstrap
syn_00690,bootstrap_user_06,support_lookup,support_lookup_030,146.1,3.483,0.218,0.6659,0.0575,654.8,0.0333,0.7904,0.4182,3,0.7371,True,0.2299,0.7434,0.4509,0.7716,focused_or_low_friction,synthetic_bootstrap
syn_00691,bootstrap_user_07,repetitive_admin,repetitive_admin_031,210.9,3.749,0.1372,0.7327,0.0908,299.5,0.0555,0.9685,0.3975,7,0.8181,True,0.1909,0.7783,0.5762,0.8843,focused_or_low_friction,synthetic_bootstrap
syn_00692,bootstrap_user_08,research_browsing,research_browsing_032,634.1,1.729,0.26,0.1729,0.1346,669.0,0.1583,0.6243,0.8663,0,0.1519,True,0.3038,0.5941,0.2513,0.504,moderate_friction,synthetic_bootstrap
syn_00693,bootstrap_user_09,repetitive_admin,repetitive_admin_033,395.4,2.588,0.0027,0.8236,0.058,764.6,0.0278,0.9295,0.3548,4,0.8786,True,0.1758,0.8523,0.6177,0.8371,focused_or_low_friction,synthetic_bootstrap
syn_00694,bootstrap_user_10,repetitive_admin,repetitive_admin_034,509.5,3.184,0.0495,0.7108,0.087,136.1,0.0551,0.7313,0.1503,7,0.8351,True,0.197,0.8033,0.6421,0.9182,focused_or_low_friction,synthetic_bootstrap
syn_00695,bootstrap_user_11,research_browsing,research_browsing_035,413.0,3.74,0.1608,0.1532,0.0474,666.0,0.1633,0.6919,0.9269,4,0.0545,True,0.2568,0.539,0.1987,0.5624,focused_or_low_friction,synthetic_bootstrap
syn_00696,bootstrap_user_12,support_lookup,support_lookup_036,211.1,4.04,0.2106,0.4269,0.0471,520.2,0.096,0.6575,0.2729,0,0.8853,True,0.2347,0.6356,0.3974,0.7586,focused_or_low_friction,synthetic_bootstrap
syn_00697,bootstrap_user_01,coding_debugging,coding_debugging_037,667.5,1.985,0.147,0.2586,0.2754,1357.7,0.0148,0.6278,0.7374,1,0.4333,True,0.332,0.765,0.2743,0.6123,moderate_friction,synthetic_bootstrap
syn_00698,bootstrap_user_02,support_lookup,support_lookup_038,175.8,6.07,0.253,0.6903,0.1717,175.0,0.0839,0.7664,0.2875,14,0.8096,True,0.271,0.6242,0.7132,0.9179,automation_candidate,synthetic_bootstrap
syn_00699,bootstrap_user_03,coding_debugging,coding_debugging_039,1346.6,1.662,0.4453,0.3339,0.2172,740.5,0.1258,0.5699,0.6866,3,0.2708,True,0.4044,0.5629,0.348,0.6228,moderate_friction,synthetic_bootstrap
syn_00700,bootstrap_user_04,repetitive_admin,repetitive_admin_040,154.3,1.552,0.1456,0.6933,0.0697,208.9,0.0303,0.7739,0.2748,11,0.9372,True,0.0832,0.8148,0.6421,0.9513,focused_or_low_friction,synthetic_bootstrap
syn_00701,bootstrap_user_05,repetitive_admin,repetitive_admin_041,303.5,2.145,0.1242,1.0,0.0605,379.6,0.0106,0.8519,0.3675,11,0.9688,True,0.139,0.8694,0.7635,0.9481,automation_candidate,synthetic_bootstrap
